"","LBS","inbreeding","Qgg","sexU","stcohort","stcohort2","id","dam","cohort","group","litter","DamCohort"
"271",0,0.0625,0.375,1,-0.00361112741103219,-0.0200879142906419,2123,30,13,4,99,290
"272",0,0,0.125,1,-0.00361112741103219,-0.0200879142906419,2133,31,13,4,101,293
"273",0,0,0.125,1,-0.00361112741103219,-0.0200879142906419,2140,31,13,4,101,293
"274",0,0,0.375,1,-0.00361112741103219,-0.0200879142906419,2149,30,13,4,382,290
"275",0,0,0.375,1,-0.00361112741103219,-0.0200879142906419,2150,30,13,4,382,290
"276",0,0,0.375,1,-0.00361112741103219,-0.0200879142906419,2151,30,13,4,382,290
"277",0,0,0.875,1,-0.000193171662817315,-0.0202311406180255,2155,32,14,4,102,294
"278",0,0,0.375,1,-0.000193171662817315,-0.0202311406180255,2166,30,14,4,100,291
"279",0,0,0.125,1,-0.0104470389074619,-0.0161182106376045,2171,118,11,4,308,50
"280",0,0,0.125,0,-0.0104470389074619,-0.0161182106376045,2172,118,11,4,308,50
"281",0,0,0.125,1,-0.00361112741103219,-0.0200879142906419,2187,31,13,4,383,293
"282",0,0,0.375,0,-0.000193171662817315,-0.0202311406180255,2198,30,14,4,100,291
"283",0,0,0.1875,1,0.00322478408539755,-0.0191466166126524,2209,33,15,4,103,295
"284",0,0,0.375,0,0.00322478408539755,-0.0191466166126524,2220,30,15,4,104,292
"285",0,0,0.375,1,0.00322478408539755,-0.0191466166126524,2230,30,15,4,104,292
"286",0,0,0.375,0,0.00322478408539755,-0.0191466166126524,2241,30,15,4,104,292
"287",0,0,0.375,1,0.00322478408539755,-0.0191466166126524,2252,30,15,4,104,292
"288",40,0.0625,0.25,0,-0.00361112741103219,-0.0200879142906419,2263,74,13,5,195,390
"289",0,0.0625,0.25,0,-0.00361112741103219,-0.0200879142906419,2272,74,13,5,195,390
"290",0,0.0703125,0.125,0,-0.00361112741103219,-0.0200879142906419,2277,75,13,5,194,394
"291",0,0.0703125,0.125,0,-0.00361112741103219,-0.0200879142906419,2286,75,13,5,194,394
"292",17,0.0625,0.25,0,-0.00361112741103219,-0.0200879142906419,2297,74,13,5,197,390
"293",0,0.0625,0.25,0,-0.00361112741103219,-0.0200879142906419,2309,74,13,5,197,390
"294",0,0.0625,0.25,0,-0.00361112741103219,-0.0200879142906419,2320,74,13,5,197,390
"295",0,0.0703125,0.125,0,-0.00361112741103219,-0.0200879142906419,2331,74,13,5,198,390
"296",4,0.0625,0.25,0,-0.00361112741103219,-0.0200879142906419,2342,74,13,5,198,390
"297",0,0.0625,0.25,0,-0.00361112741103219,-0.0200879142906419,2353,74,13,5,198,390
"298",0,0.0625,0.25,0,-0.000193171662817315,-0.0202311406180255,2364,74,14,5,193,391
"299",0,0.0625,0.25,0,-0.000193171662817315,-0.0202311406180255,2372,74,14,5,193,391
"300",0,0.0625,0.25,0,-0.000193171662817315,-0.0202311406180255,2383,74,14,5,105,391
